Skill,Description,Category,Work in Bitbucket?,Mapping Type,File Extension,Ambiguous?,Ambiguity Resolver,Legacy/Contemporary,Reason,Comments
Adobe AEM,Adobe Experience Manager (AEM) combines CMS and DAM into a unified platform using Apache Sling and JCR.,Framework (Digital Experience Platform),Yes,Direct,".html, .jsp, .java",Yes,"Look for AEM-specific markers like cq:component, sling:resourceType, or com.day.cq packages.",Contemporary,Widely used for digital experience solutions.,Direct validation possible via HTL/JSP/Java with AEM-specific patterns.
Amazon Web Services (AWS),"AWS offers 200+ cloud services for compute, storage, ML, and networking.",Technology (Cloud Platform),Yes,Direct,".tf, .yaml, .json",Yes,"Detect provider ""aws"", aws_* in Terraform, AWS:: in CloudFormation, AWS SDK imports.",Contemporary,Market leader in cloud services.,"Requires scanning for keywords, as extensions overlap with other IaC tools."
Artificial Intelligence/Machine Learning,AI enables machines to mimic human tasks; ML lets them learn from data without explicit programming.,Concept (AI/ML),Partial,Inferred,".py, .ipynb, .r",Yes,"Detect libraries like scikit-learn, tensorflow, keras, pytorch in import statements.",Contemporary,Rapidly growing field.,"Detection relies on library usage, not file extension."
Axiom,Axiom is a SaaS platform for log management and advanced analytics.,Tool (Log Management),Partial,Inferred,N/A,N/A,Look for AXIOM_TOKEN in env vars or Axiom SDK usage.,Contemporary,Modern log analytics platform.,No unique file types; detection depends on configs.
Cassandra,"Apache Cassandra is a distributed NoSQL DB for large-scale, high-availability data storage.",Technology (Database),Yes,Direct,".cql, .yaml, .java",Yes,"Look for CREATE KEYSPACE in CQL, cassandra.yaml, com.datastax imports.",Contemporary,Widely used in distributed systems.,Validated via presence of CQL scripts and configs.
Cloud Architect,"Designs and oversees cloud strategy, adoption, and governance.",Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,Key role for cloud migration.,Role-based; cannot detect in code.
Cloud Computing,Delivery of computing resources over the internet on-demand.,Concept (Cloud),Partial,Inferred,".tf, .yaml, .json",Yes,Look for provider definitions or cloud resource keywords.,Contemporary,Core to modern IT infrastructure.,Detection relies on IaC or config patterns.
Cloud Implementation (Data on Cloud),Migration of apps and data from on-prem to cloud environments.,Method (Migration),Partial,Inferred,".tf, .yaml, .sql",Yes,"Detect migration scripts or s3://, gs:// in configs.",Contemporary,Best practice for modernization.,Relies on pattern recognition in migration code.
Data Scientist,"Uses ML, stats, and programming for data-driven insights.",Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,In-demand role across industries.,Cannot be validated via code alone.
Data Virtualization – Composite & Data Fabric,Unified data layer for integrating multiple sources without moving data.,Concept (Data Integration),Partial,Inferred,".sql, .yaml, .json",Yes,"Look for TIBCO/Composite connectors, virtual view definitions, data fabric keywords.",Contemporary,Used for modern data integration.,Detection via configs and metadata patterns.
